SubType,Method,Pre.Energy,Pre.Contrast,Pre.Homogeneity,Pre.Entropy,Pre.Correlation,Pre.I,Pre.SD,Pre.Kurtosis,Pre.Skewness,Post1.Energy,Post1.Contrast,Post1.Homogeneity,Post1.Entropy,Post1.Correlation,Post1.I,Post1.SD,Post1.Kurtosis,Post1.Skewness,Post2.Energy,Post2.Contrast,Post2.Homogeneity,Post2.Entropy,Post2.Correlation,Post2.I,Post2.SD,Post2.Kurtosis,Post2.Skewness,Post3.Energy,Post3.Contrast,Post3.Homogeneity,Post3.Entropy,Post3.Correlation,Post3.I,Post3.SD,Post3.Kurtosis,Post3.Skewness
1,GC,0.057,50.027,0.287,0.215,0.389,148.692,51.348,2.314,-0.348,0.057,52.466,0.288,0.211,0.396,147.646,54.878,2.041,-0.153,0.057,53.660,0.296,0.207,0.394,154.072,53.922,1.998,-0.185,0.057,52.804,0.291,0.207,0.389,147.656,49.780,2.112,-0.258
1,GC,0.074,56.552,0.380,0.320,0.473,184.882,21.476,4.110,-0.364,0.073,49.845,0.386,0.352,0.483,164.529,31.193,3.327,-0.588,0.071,39.079,0.343,0.454,0.468,129.384,45.701,3.006,-0.413,0.073,51.177,0.383,0.355,0.469,168.285,28.682,3.238,-0.342
1,GC,0.085,42.305,0.394,0.504,0.539,158.932,40.675,4.706,-1.319,0.084,35.333,0.397,0.548,0.507,116.925,34.800,3.151,-0.094,0.085,36.397,0.403,0.535,0.509,123.863,32.586,3.510,-0.189,0.086,35.578,0.409,0.511,0.514,125.443,30.384,3.818,-0.209
1,GC,0.083,38.734,0.440,0.424,0.616,172.297,32.113,4.106,-1.032,0.081,33.953,0.424,0.508,0.616,156.438,38.026,2.311,-0.107,0.082,37.126,0.424,0.491,0.612,167.371,38.696,2.449,-0.396,0.082,39.275,0.435,0.469,0.610,164.309,35.050,2.702,-0.558
1,GC,0.182,26.032,0.440,0.411,0.483,104.687,40.701,3.302,0.370,0.182,23.478,0.441,0.411,0.504,111.302,50.291,2.838,0.550,0.182,26.531,0.437,0.422,0.503,117.902,50.968,2.615,0.421,0.182,29.098,0.437,0.418,0.501,123.022,50.901,2.454,0.310
1,GC,0.091,37.105,0.455,0.465,0.622,153.570,33.911,3.000,-0.400,0.090,32.398,0.433,0.534,0.611,139.996,39.068,2.623,0.053,0.090,34.299,0.436,0.527,0.603,134.280,36.279,2.767,0.158,0.090,35.320,0.444,0.506,0.596,134.463,34.632,2.863,0.257
1,GC,0.106,41.399,0.431,0.496,0.576,170.071,40.518,2.570,-0.585,0.106,42.562,0.418,0.550,0.536,145.897,37.339,2.768,-0.328,0.106,43.814,0.424,0.532,0.533,151.792,37.137,2.895,-0.373,0.106,44.185,0.427,0.524,0.535,157.087,37.386,3.024,-0.422
-1,GC,0.102,25.433,0.429,0.469,0.543,106.855,59.082,2.247,0.072,0.099,20.770,0.431,0.479,0.593,96.790,56.367,2.182,0.218,0.103,21.719,0.440,0.446,0.583,103.044,54.799,2.393,0.005,0.101,25.244,0.435,0.462,0.578,113.327,61.552,2.113,-0.102
-1,GC,0.065,54.491,0.509,0.279,0.581,200.480,27.377,6.620,-1.470,0.056,40.477,0.439,0.418,0.629,185.276,42.724,1.820,-0.342,0.060,47.114,0.469,0.350,0.607,192.398,34.513,2.392,-0.671,0.059,50.825,0.478,0.324,0.594,195.236,27.139,3.125,-0.735
-1,GC,0.042,83.159,0.207,0.136,0.220,144.994,46.602,2.883,0.106,0.041,62.400,0.213,0.145,0.254,96.819,57.320,2.780,0.817,0.042,72.397,0.206,0.140,0.240,106.974,55.862,2.909,0.736,0.042,78.597,0.199,0.140,0.218,110.585,52.929,2.956,0.638
-1,GC,0.138,27.859,0.552,0.558,0.714,169.571,29.970,3.359,-0.551,0.137,22.702,0.549,0.622,0.733,149.298,39.404,2.575,-0.343,0.137,24.138,0.555,0.599,0.728,150.258,35.403,2.844,-0.380,0.137,24.244,0.555,0.575,0.724,146.040,32.332,2.939,-0.306
-1,GC,0.070,50.329,0.363,0.401,0.481,147.457,35.510,5.236,-0.861,0.069,45.532,0.348,0.423,0.481,119.651,40.016,2.922,-0.439,0.069,45.140,0.351,0.421,0.476,132.534,39.993,3.434,-0.370,0.070,45.162,0.354,0.414,0.469,135.950,38.830,4.032,-0.450
-1,GC,0.124,26.328,0.515,0.562,0.667,127.808,41.704,3.295,-0.548,0.123,23.946,0.509,0.578,0.656,127.033,43.902,2.859,-0.157,0.124,24.676,0.520,0.541,0.656,120.968,37.654,3.165,-0.312,0.124,27.714,0.519,0.546,0.655,138.496,39.984,3.400,-0.505
-1,GC,0.093,43.455,0.405,0.456,0.548,159.595,35.866,4.399,-1.108,0.092,39.981,0.404,0.489,0.560,159.112,43.698,3.303,-0.737,0.093,44.326,0.413,0.463,0.555,148.165,33.806,3.982,-0.879,0.093,45.183,0.418,0.446,0.550,159.806,34.885,3.821,-0.904
-1,GC,0.090,42.871,0.405,0.434,0.548,142.536,35.300,3.781,-0.759,0.090,42.698,0.417,0.420,0.553,137.467,34.842,3.413,-0.553,0.091,41.825,0.422,0.408,0.550,132.267,33.318,3.590,-0.606,0.091,41.836,0.419,0.414,0.545,134.057,33.316,4.005,-0.768
-1,GC,0.120,42.905,0.467,0.351,0.531,186.402,25.525,3.628,-0.467,0.120,40.162,0.477,0.334,0.538,176.893,22.624,3.135,-0.189,0.120,40.613,0.477,0.347,0.538,176.760,24.269,2.995,0.209,0.120,39.776,0.474,0.339,0.539,182.860,23.487,2.975,0.352
-1,GC,0.158,33.126,0.549,0.403,0.648,163.521,22.459,7.309,-1.138,0.158,27.694,0.559,0.443,0.658,166.843,29.343,3.586,-0.483,0.159,31.869,0.563,0.400,0.652,181.979,25.024,4.958,-0.692,0.160,29.842,0.568,0.368,0.647,173.466,21.183,4.273,0.123
-1,GC,0.124,41.712,0.364,0.357,0.425,126.419,50.606,2.318,0.192,0.124,31.550,0.361,0.358,0.444,102.669,49.836,2.309,0.300,0.124,28.586,0.366,0.357,0.455,103.847,49.183,2.496,0.293,0.124,30.693,0.361,0.360,0.454,105.009,49.501,2.489,0.291
-1,GC,0.130,27.446,0.561,0.593,0.650,122.571,26.741,7.663,-1.357,0.126,27.528,0.539,0.623,0.658,137.299,35.809,4.492,-0.706,0.126,26.284,0.536,0.629,0.660,136.443,35.531,4.555,-0.654,0.127,23.391,0.539,0.618,0.662,122.771,32.991,4.522,-0.556
-1,GC,0.118,30.449,0.449,0.504,0.609,148.866,39.490,3.192,-0.262,0.118,28.253,0.450,0.524,0.618,132.660,45.732,2.352,-0.085,0.118,28.240,0.457,0.504,0.614,134.320,41.602,2.830,-0.336,0.119,28.997,0.452,0.491,0.611,136.026,39.422,2.986,-0.382
-1,GC,0.073,75.357,0.283,0.128,0.292,182.374,22.291,4.145,-0.469,0.072,64.588,0.278,0.141,0.301,173.173,30.021,2.949,-0.259,0.072,68.319,0.275,0.136,0.301,186.499,30.240,3.269,-0.478,0.072,68.532,0.285,0.131,0.298,196.078,29.549,3.643,-0.644
-1,GC,0.102,48.402,0.394,0.337,0.496,147.156,28.481,3.766,-0.777,0.101,45.266,0.390,0.383,0.512,159.278,41.777,2.404,-0.264,0.101,49.427,0.393,0.360,0.504,169.947,38.266,2.951,-0.480,0.101,50.025,0.391,0.348,0.499,170.769,36.291,3.209,-0.589
1,FCM,0.155,43.242,0.359,0.258,0.359,132.188,32.898,2.849,-0.387,0.155,41.797,0.355,0.278,0.360,142.600,38.464,2.593,-0.005,0.155,44.356,0.357,0.253,0.351,141.747,25.874,3.163,0.307,0.155,46.020,0.360,0.261,0.342,157.960,28.241,2.751,0.252
1,FCM,0.122,46.218,0.217,0.059,0.126,139.534,44.458,2.486,0.280,0.122,51.072,0.220,0.060,0.129,159.091,40.338,2.286,0.181,0.122,54.959,0.222,0.059,0.126,168.505,30.826,2.750,0.295,0.122,54.349,0.220,0.053,0.128,169.674,28.311,2.865,0.476
1,FCM,0.075,59.724,0.390,0.247,0.462,147.086,14.978,7.390,0.451,0.072,65.373,0.372,0.307,0.455,173.317,25.291,3.013,0.160,0.071,57.387,0.368,0.332,0.445,157.074,24.002,3.368,0.261,0.071,54.656,0.364,0.338,0.443,161.119,28.184,2.767,0.184
1,FCM,0.130,55.367,0.295,0.102,0.255,170.412,41.500,2.864,-0.573,0.131,64.992,0.298,0.096,0.255,182.544,37.748,2.593,-0.500,0.131,65.415,0.304,0.094,0.254,190.605,32.996,2.344,-0.338,0.131,61.454,0.295,0.096,0.254,182.157,28.064,2.522,-0.192
1,FCM,0.152,60.792,0.356,0.211,0.312,170.839,31.172,4.946,-1.180,0.152,64.486,0.362,0.208,0.315,173.340,24.195,3.063,-0.189,0.151,51.707,0.344,0.261,0.309,138.563,29.205,3.148,0.400,0.152,65.593,0.360,0.211,0.304,179.008,23.629,3.972,-0.365
1,FCM,0.204,36.484,0.419,0.375,0.420,158.786,39.142,3.929,-0.976,0.204,35.423,0.423,0.375,0.402,134.572,27.342,3.785,0.047,0.204,37.190,0.424,0.364,0.399,142.834,25.669,4.003,0.066,0.205,36.740,0.426,0.362,0.399,143.091,25.799,3.936,0.017
1,FCM,0.121,49.985,0.429,0.330,0.528,189.607,34.160,5.402,-1.432,0.120,55.275,0.424,0.394,0.495,175.190,28.455,2.563,-0.121,0.120,56.973,0.424,0.368,0.497,186.617,26.742,2.916,-0.399,0.120,57.587,0.432,0.345,0.500,181.337,23.505,3.270,-0.496
1,FCM,0.148,42.736,0.266,0.103,0.186,143.006,42.836,3.012,0.108,0.149,50.183,0.266,0.103,0.202,168.475,40.594,2.185,0.144,0.148,56.939,0.268,0.101,0.199,179.513,35.709,2.159,0.044,0.148,58.379,0.269,0.103,0.199,185.281,32.149,2.455,-0.014
1,FCM,0.171,46.464,0.411,0.306,0.415,162.991,29.941,2.944,-0.320,0.171,41.815,0.400,0.343,0.412,158.705,29.461,2.882,0.376,0.171,45.002,0.402,0.344,0.405,154.158,26.392,3.108,0.588,0.171,45.893,0.405,0.340,0.399,154.323,25.933,2.990,0.597
1,FCM,0.270,35.536,0.463,0.396,0.443,168.918,34.075,2.332,-0.225,0.270,34.482,0.464,0.402,0.434,152.081,28.654,2.659,0.294,0.270,35.954,0.466,0.387,0.430,161.401,27.183,2.704,0.291,0.270,37.058,0.467,0.384,0.429,168.595,27.629,2.667,0.204
-1,FCM,0.096,47.864,0.315,0.223,0.313,137.037,40.531,3.010,0.226,0.097,53.482,0.329,0.211,0.336,159.225,31.125,2.990,0.195,0.098,56.379,0.335,0.201,0.321,162.642,27.641,3.135,0.765,0.098,59.336,0.332,0.197,0.323,176.369,30.611,2.784,0.200
-1,FCM,0.080,67.534,0.485,0.229,0.507,206.748,27.428,7.995,-1.719,0.075,68.412,0.452,0.252,0.518,207.348,28.196,3.592,-0.870,0.079,72.394,0.476,0.195,0.502,210.632,19.030,3.989,-0.805,0.077,70.791,0.471,0.206,0.500,208.257,16.151,3.754,-0.322
-1,FCM,0.085,100.401,0.212,0.052,0.114,186.946,45.429,3.084,-0.803,0.084,92.563,0.211,0.056,0.108,192.922,29.496,2.309,-0.188,0.082,92.732,0.218,0.061,0.104,196.695,33.118,1.958,0.011,0.084,84.411,0.201,0.056,0.104,191.202,34.899,1.949,-0.099
